epoch,train_acc,train_cost,test_acc
721,0.699,0.8886666,0.57
722,0.679,0.92585176,0.5705
723,0.6893,0.9140455,0.5545
724,0.6559,0.9752916,0.559
725,0.6338,1.0277122,0.503
726,0.6717,0.9520395,0.5495
727,0.6077,1.1612865,0.502
728,0.7021,0.8727775,0.5805
729,0.6786,0.9273902,0.552
730,0.6847,0.92680955,0.559
731,0.6757,0.9483011,0.5415
732,0.6959,0.88937384,0.565
733,0.6479,1.0246327,0.54
734,0.6592,0.9670793,0.5525
735,0.694,0.8971198,0.5755
736,0.6888,0.91556096,0.5675
737,0.656,0.97169924,0.5235
738,0.6419,1.0186646,0.545
739,0.6683,0.9530014,0.5445
740,0.6709,0.9291543,0.5355
741,0.6745,0.9218792,0.5485
742,0.6527,0.9682086,0.5515
743,0.6924,0.88020647,0.5795
744,0.6718,0.92134905,0.5395
745,0.6548,0.9566551,0.5255
746,0.5635,1.2171034,0.4805
747,0.5962,1.1097466,0.4945
748,0.6843,0.9101301,0.558
749,0.7008,0.88972384,0.574
750,0.5883,1.1134148,0.477
751,0.7041,0.87737656,0.5585
752,0.6203,1.0497965,0.511
753,0.6994,0.87605137,0.5525
754,0.6056,1.0991153,0.5205
755,0.6292,1.0285304,0.504
756,0.6319,1.0497866,0.512
757,0.6379,1.0216252,0.518
758,0.6424,0.9801472,0.532
759,0.7099,0.86110127,0.5675
760,0.7015,0.8751906,0.575
761,0.7051,0.8585128,0.5575
762,0.7112,0.85463166,0.572
763,0.6931,0.8838244,0.557
764,0.6165,1.0546927,0.489
765,0.6574,0.9872268,0.5215
766,0.692,0.8923041,0.55
767,0.6876,0.92380667,0.554
768,0.6999,0.8719709,0.565
769,0.6126,1.0648819,0.5015
770,0.595,1.1091563,0.4655
771,0.7179,0.8495883,0.578
772,0.5802,1.1809872,0.477
773,0.6968,0.87757784,0.58
774,0.7136,0.85158837,0.5735
775,0.5852,1.1531668,0.495
776,0.6788,0.9174444,0.559
777,0.6616,0.9305605,0.551
778,0.7171,0.84185994,0.574
779,0.618,1.0781895,0.4915
