type,epoch,test accuracy,entropy_cost
LSTM Word RNN,29,0.63857144,0.1221865
LSTM Word RNN,30,0.6357143,0.119003445
LSTM Word RNN,31,0.62142855,0.18944092
LSTM Word RNN,32,0.6642857,0.08503479
LSTM Word RNN,33,0.6757143,0.051485814
LSTM Word RNN,34,0.6785714,0.03402333
LSTM Word RNN,35,0.66714287,0.025526177
LSTM Word RNN,36,0.69142854,0.020372113
LSTM Word RNN,37,0.6742857,0.015928235
LSTM Word RNN,38,0.69,0.013351632
LSTM Word RNN,39,0.68857145,0.011128006
LSTM Word RNN,40,0.6957143,0.0114978915
LSTM Word RNN,41,0.69,0.009783421
LSTM Word RNN,42,0.68714285,0.011504432
LSTM Word RNN,43,0.68857145,0.010394409
LSTM Word RNN,44,0.6757143,0.021421744
LSTM Word RNN,45,0.6785714,0.010444417
LSTM Word RNN,46,0.6842857,0.009634145
LSTM Word RNN,47,0.68857145,0.009633675
LSTM Word RNN,48,0.62285715,0.19406925
LSTM Word RNN,49,0.6571429,0.041185956
LSTM Word RNN,50,0.6957143,0.020814177
LSTM Word RNN,51,0.69,0.013685153
LSTM Word RNN,52,0.6842857,0.009799365
LSTM Word RNN,53,0.69,0.008230629
LSTM Word RNN,54,0.69142854,0.007278301
LSTM Word RNN,55,0.68714285,0.006501243
LSTM Word RNN,56,0.68285716,0.006072911
LSTM Word RNN,57,0.6857143,0.0056978976
LSTM Word RNN,58,0.69,0.005326031
LSTM Word RNN,59,0.69,0.005028397
LSTM Word RNN,60,0.69285715,0.004748761
LSTM Word RNN,61,0.6842857,0.004475909
LSTM Word RNN,62,0.68714285,0.004209571
LSTM Word RNN,63,0.6857143,0.0039351634
LSTM Word RNN,64,0.6842857,0.003721887
LSTM Word RNN,65,0.6857143,0.0034640473
LSTM Word RNN,66,0.68285716,0.0031932136
LSTM Word RNN,67,0.68142855,0.0029442355
LSTM Word RNN,68,0.6785714,0.0028158007
LSTM Word RNN,69,0.6785714,0.0025723998
LSTM Word RNN,70,0.67714286,0.0023919013
LSTM Word RNN,71,0.67714286,0.0022371153
LSTM Word RNN,72,0.6785714,0.002038206
LSTM Word RNN,73,0.67714286,0.0019162968
LSTM Word RNN,74,0.67285717,0.0017715025
LSTM Word RNN,75,0.6757143,0.001643119
LSTM Word RNN,76,0.6785714,0.0015133704
LSTM Word RNN,77,0.6785714,0.0014198928
LSTM Word RNN,78,0.6785714,0.0013467656
LSTM Word RNN,79,0.67714286,0.0012523214
LSTM Word RNN,80,0.67714286,0.0011555282
LSTM Word RNN,81,0.6742857,0.0010854774
LSTM Word RNN,82,0.6757143,0.0010219838
LSTM Word RNN,83,0.67714286,0.0009626595
LSTM Word RNN,84,0.6757143,0.00090659276
LSTM Word RNN,85,0.68,0.0008625545
LSTM Word RNN,86,0.67714286,0.00081423315
LSTM Word RNN,87,0.6785714,0.00076441886
LSTM Word RNN,88,0.68,0.00072423933
LSTM Word RNN,89,0.68,0.00068594055
LSTM Word RNN,90,0.68,0.00065277854
LSTM Word RNN,91,0.68,0.0006190365
LSTM Word RNN,92,0.68142855,0.00059232087
LSTM Word RNN,93,0.68,0.0005649267
LSTM Word RNN,94,0.6785714,0.00053681346
LSTM Word RNN,95,0.6785714,0.0005155041
LSTM Word RNN,96,0.6785714,0.00049009704
LSTM Word RNN,97,0.6785714,0.0004703662
LSTM Word RNN,98,0.68,0.0004500742
LSTM Word RNN,99,0.6785714,0.00043048357
Vanilla Word RNN,0,0.071428575,2.644489
Vanilla Word RNN,1,0.07285714,2.6469548
Vanilla Word RNN,2,0.074285716,2.637063
Vanilla Word RNN,3,0.068571426,2.6415071
Vanilla Word RNN,4,0.071428575,2.6381884
Vanilla Word RNN,5,0.071428575,2.6424446
Vanilla Word RNN,6,0.07,2.6385822
Vanilla Word RNN,7,0.071428575,2.6298013
Vanilla Word RNN,8,0.071428575,2.6473284
Vanilla Word RNN,9,0.07285714,2.6368022
Vanilla Word RNN,10,0.07714286,2.6373022
Vanilla Word RNN,11,0.071428575,2.6509883
Vanilla Word RNN,12,0.07857143,2.6343641
Vanilla Word RNN,13,0.071428575,2.6366925
Vanilla Word RNN,14,0.07,2.638673
Vanilla Word RNN,15,0.071428575,2.633624
Vanilla Word RNN,16,0.071428575,2.6363015
Vanilla Word RNN,17,0.068571426,2.63617
Vanilla Word RNN,18,0.074285716,2.6277869
Vanilla Word RNN,19,0.07571428,2.622362
Vanilla Word RNN,20,0.071428575,2.6372502
Vanilla Word RNN,21,0.07,2.6345446
Vanilla Word RNN,22,0.07,2.6349366
Vanilla Word RNN,23,0.071428575,2.6347587
Vanilla Word RNN,24,0.07285714,2.640263
Vanilla Word RNN,25,0.074285716,2.6260111
Vanilla Word RNN,26,0.074285716,2.635066
Vanilla Word RNN,27,0.07285714,2.6351678
Vanilla Word RNN,28,0.06714286,2.6337562
Vanilla Word RNN,29,0.07285714,2.636788
Vanilla Word RNN,30,0.071428575,2.6346533
Vanilla Word RNN,31,0.07,2.590081
Vanilla Word RNN,32,0.061428573,2.5908546
Vanilla Word RNN,33,0.071428575,2.585987
Vanilla Word RNN,34,0.057142857,2.6429245
Vanilla Word RNN,35,0.06714286,2.7070968
Vanilla Word RNN,36,0.074285716,2.6638591
Vanilla Word RNN,37,0.065714285,2.6793618
Vanilla Word RNN,38,0.07,2.6485868
Vanilla Word RNN,39,0.07285714,2.6664715
Vanilla Word RNN,40,0.071428575,2.6558015
Vanilla Word RNN,41,0.071428575,2.6609085
Vanilla Word RNN,42,0.07285714,2.6498644
Vanilla Word RNN,43,0.07285714,2.6481366
Vanilla Word RNN,44,0.07285714,2.6471367
Vanilla Word RNN,45,0.071428575,2.6394806
Vanilla Word RNN,46,0.071428575,2.6458833
Vanilla Word RNN,47,0.07571428,2.640644
Vanilla Word RNN,48,0.071428575,2.6492393
Vanilla Word RNN,49,0.07,2.6436226
Vanilla Word RNN,50,0.07285714,2.641566
Vanilla Word RNN,51,0.071428575,2.6526928
Vanilla Word RNN,52,0.07285714,2.6472256
Vanilla Word RNN,53,0.07571428,2.6427245
Vanilla Word RNN,54,0.07285714,2.6427858
Vanilla Word RNN,55,0.071428575,2.647364
Vanilla Word RNN,56,0.07571428,2.646073
Vanilla Word RNN,57,0.07285714,2.6421278
Vanilla Word RNN,58,0.07285714,2.6391015
Vanilla Word RNN,59,0.074285716,2.639943
Vanilla Word RNN,60,0.07285714,2.6444404
Vanilla Word RNN,61,0.071428575,2.649569
Vanilla Word RNN,62,0.07285714,2.662178
Vanilla Word RNN,63,0.071428575,2.665188
Vanilla Word RNN,64,0.071428575,2.6467044
Vanilla Word RNN,65,0.071428575,2.6444566
Vanilla Word RNN,66,0.068571426,2.644129
Vanilla Word RNN,67,0.074285716,2.6391802
Vanilla Word RNN,68,0.065714285,2.6386342
Vanilla Word RNN,69,0.071428575,2.6511014
Vanilla Word RNN,70,0.07,2.6446583
Vanilla Word RNN,71,0.07,2.643144
Vanilla Word RNN,72,0.071428575,2.645574
Vanilla Word RNN,73,0.06714286,2.6420183
Vanilla Word RNN,74,0.068571426,2.643062
Vanilla Word RNN,75,0.07,2.6453137
Vanilla Word RNN,76,0.07285714,2.6389432
Vanilla Word RNN,77,0.07571428,2.636899
Vanilla Word RNN,78,0.08142857,2.6406572
Vanilla Word RNN,79,0.061428573,2.6457415
Vanilla Word RNN,80,0.071428575,2.642292
Vanilla Word RNN,81,0.06714286,2.6440206
Vanilla Word RNN,82,0.06714286,2.6420805
Vanilla Word RNN,83,0.084285714,2.6326044
