type,epoch,test accuracy,entropy_cost
LSTM Word RNN,43,0.071428575,2.6366162
LSTM Word RNN,44,0.07,2.6391857
LSTM Word RNN,45,0.1,2.572458
LSTM Word RNN,46,0.14857143,2.1044827
LSTM Word RNN,47,0.13,1.961665
LSTM Word RNN,48,0.20285714,1.7722414
LSTM Word RNN,49,0.24,1.5422105
LSTM Word RNN,50,0.2657143,1.3322476
LSTM Word RNN,51,0.2857143,1.1690023
LSTM Word RNN,52,0.29,0.9529541
LSTM Word RNN,53,0.37142858,0.8715909
LSTM Word RNN,54,0.4,0.83450586
LSTM Word RNN,55,0.46857142,0.58262175
LSTM Word RNN,56,0.48,0.49342668
LSTM Word RNN,57,0.50285715,0.4520304
LSTM Word RNN,58,0.48142856,0.34144548
LSTM Word RNN,59,0.47285715,0.30862218
LSTM Word RNN,60,0.4857143,0.29250458
LSTM Word RNN,61,0.48857144,0.24278843
LSTM Word RNN,62,0.5214286,0.2079439
LSTM Word RNN,63,0.49857143,0.24500127
LSTM Word RNN,64,0.5271429,0.19616726
LSTM Word RNN,65,0.52428573,0.14154586
LSTM Word RNN,66,0.5557143,0.10292273
LSTM Word RNN,67,0.5542857,0.070590556
LSTM Word RNN,68,0.55285716,0.06191581
LSTM Word RNN,69,0.55714285,0.048243605
LSTM Word RNN,70,0.57285714,0.042769376
LSTM Word RNN,71,0.58,0.0384808
LSTM Word RNN,72,0.57,0.037001174
LSTM Word RNN,73,0.57857144,0.03543974
LSTM Word RNN,74,0.56714284,0.032071166
LSTM Word RNN,75,0.5814286,0.02929937
LSTM Word RNN,76,0.5757143,0.02869751
LSTM Word RNN,77,0.5742857,0.032302536
LSTM Word RNN,78,0.5957143,0.026794458
LSTM Word RNN,79,0.5657143,0.037013035
LSTM Word RNN,80,0.5285714,0.08033524
LSTM Word RNN,81,0.55142856,0.1619587
LSTM Word RNN,82,0.56,0.07852879
LSTM Word RNN,83,0.5757143,0.055154894
LSTM Word RNN,84,0.57714283,0.047847535
LSTM Word RNN,85,0.5657143,0.036118664
LSTM Word RNN,86,0.57,0.031739272
LSTM Word RNN,87,0.56714284,0.03140549
LSTM Word RNN,88,0.5871429,0.027225435
LSTM Word RNN,89,0.5442857,0.0444826
LSTM Word RNN,90,0.57857144,0.034151223
LSTM Word RNN,91,0.59,0.031500548
LSTM Word RNN,92,0.5871429,0.02831489
LSTM Word RNN,93,0.58428574,0.06816685
LSTM Word RNN,94,0.5285714,0.23191282
LSTM Word RNN,95,0.5914286,0.08809472
LSTM Word RNN,96,0.5714286,0.058210876
LSTM Word RNN,97,0.59,0.043080166
LSTM Word RNN,98,0.62285715,0.041183427
LSTM Word RNN,99,0.5942857,0.03331224
LSTM Word RNN w/ GD,0,0.071428575,2.6513357
LSTM Word RNN w/ GD,1,0.071428575,2.6449125
LSTM Word RNN w/ GD,2,0.071428575,2.6467948
LSTM Word RNN w/ GD,3,0.071428575,2.640488
LSTM Word RNN w/ GD,4,0.09142857,2.6330054
LSTM Word RNN w/ GD,5,0.08857143,2.6375237
LSTM Word RNN w/ GD,6,0.14571428,2.35023
LSTM Word RNN w/ GD,7,0.18857142,2.0359414
LSTM Word RNN w/ GD,8,0.17714286,1.9203359
LSTM Word RNN w/ GD,9,0.21571429,1.6836199
LSTM Word RNN w/ GD,10,0.23285714,1.5895875
LSTM Word RNN w/ GD,11,0.26,1.5156449
LSTM Word RNN w/ GD,12,0.32714286,1.3922815
LSTM Word RNN w/ GD,13,0.35285714,1.209763
LSTM Word RNN w/ GD,14,0.34142858,1.0627377
LSTM Word RNN w/ GD,15,0.38,0.9823514
LSTM Word RNN w/ GD,16,0.40142858,0.9426431
LSTM Word RNN w/ GD,17,0.36142856,0.83145213
